Cusec,Cusec,Censo Total,Votos Totales,Votos Blancos,Votos Nulos,Votos Válidos,Primera fuerza,% PF,Segunda fuerza,% SF,Tercera fuerza,% TF,% PP,% PSOE,% MÁS MADRID,% Cs,% Podemos,% VOX,Izquierda,Derecha,Bloque Gana,PACMA,MÁS MADRID,PSOE,PH,ULEG,Cs,FE de las JONS,PCAS-TC,PUM+J,P-LIB,PP,PCTE,VOX,UPYD,PODEMOS-IU
2805806005,2805806005,1664,1015,8,1,1014,PSOE,42.01,MÁS MADRID,15.78,Cs,14.6,9.57,42.01,15.78,14.6,8.09,8.19,65.88,32.36,Izquierda,8,160,426,0,0,148,1,0,0,0,97,0,83,1,82
2805806006,2805806006,1406,859,3,2,857,PSOE,36.64,Cs,16.92,MÁS MADRID,16.45,13.07,36.64,16.45,16.92,5.83,8.63,58.92,38.62,Izquierda,10,141,314,0,0,145,0,3,0,0,112,1,74,4,50
2805806007,2805806007,1317,771,22,6,765,PSOE,41.96,MÁS MADRID,16.73,Cs,12.94,10.85,41.96,16.73,12.94,5.49,7.06,64.18,30.85,Izquierda,11,128,321,0,1,99,1,0,0,0,83,2,54,1,42
2805806008,2805806008,1513,957,4,5,952,PSOE,35.71,MÁS MADRID,18.59,Cs,14.71,12.92,35.71,18.59,14.71,7.98,7.67,62.28,35.3,Izquierda,12,177,340,1,0,140,1,0,1,0,123,1,73,3,76
2805806009,2805806009,1555,909,2,5,904,PSOE,38.16,MÁS MADRID,16.59,Cs,16.37,10.62,38.16,16.59,16.37,7.85,8.63,62.6,35.62,Izquierda,12,150,345,0,0,148,0,1,0,0,96,1,78,0,71
2805806010,2805806010,1289,817,3,3,814,PSOE,38.21,MÁS MADRID,15.85,Cs,14.74,12.29,38.21,15.85,14.74,8.35,8.23,62.41,35.26,Izquierda,9,129,311,1,0,120,1,1,1,0,100,0,67,3,68
2805806011,2805806011,1293,744,4,0,744,PSOE,37.63,Cs,16.67,MÁS MADRID,14.25,12.37,37.63,14.25,16.67,8.74,8.74,60.62,37.78,Izquierda,4,106,280,0,0,124,1,0,2,0,92,1,65,0,65
2805806012,2805806012,1177,727,4,0,727,PSOE,42.23,MÁS MADRID,17.06,Cs,13.34,11.14,42.23,17.06,13.34,7.15,7.15,66.44,31.63,Izquierda,7,124,307,0,0,97,1,0,0,0,81,2,52,0,52
2805806013,2805806013,1553,899,4,4,895,PSOE,34.41,Cs,19.89,MÁS MADRID,13.97,12.07,34.41,13.97,19.89,7.04,9.61,55.42,41.57,Izquierda,14,125,308,0,0,178,2,0,0,1,108,0,86,6,63
2805806014,2805806014,1816,1255,9,5,1250,PSOE,36.08,Cs,21.6,MÁS MADRID,17.6,6.88,36.08,17.6,21.6,9.36,5.76,63.04,34.24,Izquierda,15,220,451,2,0,270,1,0,2,1,86,4,72,0,117
2805806015,2805806015,1468,917,4,1,916,PSOE,42.58,Cs,18.67,MÁS MADRID,11.79,10.37,42.58,11.79,18.67,7.86,6.66,62.23,35.7,Izquierda,8,108,390,1,0,171,0,2,1,2,95,1,61,0,72
2805806016,2805806016,1576,1058,7,3,1055,PSOE,34.98,Cs,19.05,MÁS MADRID,18.29,11,34.98,18.29,19.05,6.92,7.58,60.19,37.63,Izquierda,14,193,369,1,0,201,0,0,0,0,116,0,80,1,73
2805806017,2805806017,1412,875,4,2,873,PSOE,43.07,Cs,17.53,MÁS MADRID,13.52,9.16,43.07,13.52,17.53,7.1,7.67,63.69,34.36,Izquierda,6,118,376,1,0,153,0,0,1,1,80,1,67,3,62
2805806018,2805806018,1155,764,3,0,764,PSOE,33.25,Cs,19.37,MÁS MADRID,16.23,15.71,33.25,16.23,19.37,6.02,8.51,55.5,43.59,Izquierda,3,124,254,0,0,148,0,0,0,0,120,0,65,1,46
2805806019,2805806019,1271,829,4,5,824,PSOE,30.58,Cs,19.78,MÁS MADRID,17.96,16.5,30.58,17.96,19.78,3.16,10.56,51.7,46.84,Izquierda,6,148,252,0,0,163,0,0,0,1,136,1,87,0,26
2805807001,2805807001,1000,535,5,2,533,PSOE,41.09,Cs,17.45,PP,13.13,13.13,41.09,10.69,17.45,4.69,4.13,56.47,34.71,Izquierda,6,57,219,0,0,93,0,1,0,0,70,35,22,0,25
2805807002,2805807002,1199,755,6,2,753,PSOE,40.9,Cs,16.73,MÁS MADRID,13.41,12.88,40.9,13.41,16.73,8.76,5.44,63.07,35.05,Izquierda,5,101,308,0,0,126,0,0,0,0,97,2,41,1,66
2805807003,2805807003,1368,872,6,2,870,PSOE,41.95,Cs,15.86,PP,12.87,12.87,41.95,11.95,15.86,6.78,8.51,60.68,37.24,Izquierda,9,104,365,1,0,138,0,1,0,0,112,0,74,1,59
2805807004,2805807004,1523,962,6,4,958,PSOE,40.4,Cs,16.49,PP,12.63,12.63,40.4,12,16.49,7.83,7.72,60.23,36.84,Izquierda,15,115,387,3,0,158,0,0,1,0,121,1,74,2,75
2805807005,2805807005,873,561,1,3,558,PSOE,43.37,Cs,17.03,MÁS MADRID,13.98,9.32,43.37,13.98,17.03,6.09,7.89,63.44,34.24,Izquierda,10,78,242,0,0,95,0,1,0,0,52,1,44,0,34
2805807006,2805807006,1360,831,3,5,826,PSOE,34.62,Cs,16.34,MÁS MADRID,13.92,13.08,34.62,13.92,16.34,8.84,10.05,57.38,39.47,Izquierda,17,115,286,0,0,135,0,1,1,1,108,0,83,3,73
2805807007,2805807007,1321,823,6,1,822,PSOE,29.93,PP,22.14,Cs,18.49,22.14,29.93,12.41,18.49,5.72,9.25,48.06,49.88,Derecha,9,102,246,0,0,152,0,1,0,0,182,1,76,0,47
2805807008,2805807008,782,486,0,1,485,PSOE,38.97,MÁS MADRID,15.88,Cs,14.85,13.2,38.97,15.88,14.85,8.25,7.63,63.1,35.68,Izquierda,6,77,189,0,0,72,0,0,0,0,64,0,37,0,40
2805807009,2805807009,758,486,0,3,483,PSOE,43.27,MÁS MADRID,16.98,Cs,12.63,9.73,43.27,16.98,12.63,8.28,7.25,68.53,29.61,Izquierda,6,82,209,1,0,61,0,0,0,1,47,1,35,0,40
2805807010,2805807010,754,493,1,2,491,PSOE,39.1,Cs,15.27,MÁS MADRID,14.66,14.26,39.1,14.66,15.27,8.55,5.91,62.31,35.44,Izquierda,8,72,192,0,2,75,0,0,0,0,70,0,29,0,42
2805807011,2805807011,993,664,0,1,663,PSOE,36.8,PP,15.54,Cs,15.08,15.54,36.8,14.18,15.08,8.75,9.2,59.73,39.82,Izquierda,2,94,244,0,0,100,1,0,0,0,103,0,61,0,58
2805807012,2805807012,802,459,3,1,458,PSOE,36.68,Cs,17.47,MÁS MADRID,14.19,13.76,36.68,14.19,17.47,10.04,5.24,60.91,36.47,Izquierda,4,65,168,1,0,80,1,0,1,1,63,0,24,1,46
2805807013,2805807013,921,529,4,1,528,PSOE,48.11,Cs,14.39,MÁS MADRID,11.74,11.36,48.11,11.74,14.39,6.44,6.06,66.29,31.81,Izquierda,3,62,254,1,0,76,0,0,0,0,60,2,32,0,34
2805807014,2805807014,1206,820,2,5,815,PSOE,41.96,Cs,18.65,MÁS MADRID,15.09,10.55,41.96,15.09,18.65,4.17,7.85,61.22,37.05,Izquierda,9,123,342,1,0,152,0,0,0,1,86,0,64,1,34
2805807015,2805807015,1289,963,4,0,963,PSOE,30.74,Cs,25.65,MÁS MADRID,14.33,13.19,30.74,14.33,25.65,4.05,9.97,49.12,48.81,Izquierda,15,138,296,0,0,247,0,0,1,0,127,0,96,0,39
2805807016,2805807016,2103,1540,11,14,1526,PSOE,35.19,Empate MÁS MADRID - Cs,19.92,Empate MÁS MADRID - Cs,19.92,6.42,35.19,19.92,19.92,6.03,10.22,61.14,36.56,Izquierda,13,304,537,1,1,304,3,0,1,2,98,0,156,3,92
2805808001,2805808001,1089,728,2,3,725,PSOE,34.62,Cs,19.86,MÁS MADRID,16,15.45,34.62,16,19.86,4.69,8.14,55.31,43.45,Izquierda,3,116,251,2,0,144,0,0,0,0,112,2,59,0,34
2805808002,2805808002,606,381,0,2,379,PSOE,45.12,Cs,16.89,MÁS MADRID,12.14,11.87,45.12,12.14,16.89,3.43,9.76,60.69,38.52,Izquierda,2,46,171,0,0,64,0,0,1,0,45,0,37,0,13
2805808003,2805808003,617,364,4,3,361,PSOE,45.71,MÁS MADRID,14.96,Cs,12.19,12.19,45.71,14.96,12.19,6.09,6.09,66.76,30.47,Izquierda,4,54,165,0,0,44,1,0,0,0,44,0,22,1,22
2805808004,2805808004,1015,647,1,2,645,PSOE,42.48,Cs,15.19,MÁS MADRID,13.8,11.78,42.48,13.8,15.19,7.13,7.91,63.41,34.88,Izquierda,10,89,274,0,0,98,0,0,0,0,76,0,51,0,46
2805808005,2805808005,867,514,0,0,514,PSOE,52.53,Cs,13.42,MÁS MADRID,11.67,9.14,52.53,11.67,13.42,5.84,5.84,70.04,28.4,Izquierda,5,60,270,0,0,69,0,2,0,0,47,0,30,1,30
2805808006,2805808006,1281,798,1,3,795,PSOE,40.38,Cs,16.73,MÁS MADRID,13.84,11.45,40.38,13.84,16.73,7.67,6.79,61.89,34.97,Izquierda,15,110,321,2,0,133,0,2,0,2,91,2,54,1,61
2805808007,2805808007,1367,806,5,5,801,PSOE,38.95,Cs,18.1,MÁS MADRID,13.61,11.99,38.95,13.61,18.1,7.87,7.87,60.43,37.96,Izquierda,5,109,312,1,1,145,0,0,0,0,96,0,63,1,63
2805808008,2805808008,1542,938,5,6,932,PSOE,40.99,Cs,18.45,MÁS MADRID,14.59,8.37,40.99,14.59,18.45,7.4,7.83,62.98,34.65,Izquierda,11,136,382,0,0,172,2,0,2,0,78,2,73,0,69
2805808009,2805808009,1506,955,3,4,951,PSOE,43.01,Cs,15.67,MÁS MADRID,14.09,8.52,43.01,14.09,15.67,8.41,7.47,65.51,31.66,Izquierda,13,134,409,2,0,149,1,0,4,0,81,1,71,3,80
2805808010,2805808010,998,569,2,3,566,PSOE,42.4,Cs,14.31,MÁS MADRID,13.96,12.37,42.4,13.96,14.31,6.18,8.13,62.54,34.81,Izquierda,11,79,240,0,0,81,0,1,0,0,70,0,46,1,35
2805808011,2805808011,819,531,4,2,529,PSOE,44.42,Cs,16.45,PP,13.23,13.23,44.42,10.21,16.45,4.54,7.75,59.17,37.43,Izquierda,11,54,235,0,1,87,1,0,1,0,70,0,41,0,24
2805808012,2805808012,1049,656,2,3,653,PSOE,35.99,MÁS MADRID,18.07,Cs,16.39,11.79,35.99,18.07,16.39,9.8,5.82,63.86,34,Izquierda,5,118,235,0,0,107,2,3,0,0,77,0,38,2,64
2805808013,2805808013,1392,857,2,4,853,PSOE,44.31,Cs,15.47,MÁS MADRID,15.36,11.61,44.31,15.36,15.47,5.63,5.98,65.3,33.06,Izquierda,9,131,378,1,0,132,0,0,0,0,99,0,51,2,48
2805808014,2805808014,947,540,2,3,537,PSOE,45.07,MÁS MADRID,16.01,Cs,12.29,10.61,45.07,16.01,12.29,7.45,7.26,68.53,30.16,Izquierda,4,86,242,0,0,66,0,0,1,0,57,0,39,0,40
2805808015,2805808015,1220,796,4,1,795,PSOE,39.25,Cs,19.37,MÁS MADRID,13.58,12.96,39.25,13.58,19.37,5.03,7.67,57.86,40,Izquierda,10,108,312,0,0,154,1,0,0,0,103,1,61,1,40
2805808016,2805808016,1207,839,4,2,837,PSOE,33.81,Cs,24.49,MÁS MADRID,15.29,12.9,33.81,15.29,24.49,3.35,8.96,52.45,46.35,Izquierda,4,128,283,0,0,205,0,0,0,0,108,2,75,0,28
2805809001,2805809001,1038,643,0,1,642,PSOE,36.76,MÁS MADRID,16.98,Cs,16.2,10.9,36.76,16.98,16.2,9.35,8.1,63.09,35.2,Izquierda,9,109,236,1,0,104,0,0,0,0,70,1,52,0,60
2805809002,2805809002,1786,1138,5,1,1137,PSOE,32.72,Cs,21.9,MÁS MADRID,19.79,6.86,32.72,19.79,21.9,7.12,9.06,59.63,37.82,Izquierda,12,225,372,4,2,249,2,0,2,0,78,0,103,2,81
2805809003,2805809003,1204,690,7,5,685,PSOE,33.58,MÁS MADRID,19.12,Cs,15.33,12.41,33.58,19.12,15.33,9.05,7.45,61.75,35.19,Izquierda,8,131,230,0,0,105,1,0,1,1,85,2,51,1,62
2805809004,2805809004,1534,1041,8,1,1040,PSOE,32.4,Cs,22.4,MÁS MADRID,16.54,11.63,32.4,16.54,22.4,7.4,7.12,56.34,41.15,Izquierda,10,172,337,1,1,233,1,1,1,0,121,1,74,2,77
2805809005,2805809005,1563,983,8,2,981,PSOE,35.17,Cs,23.04,MÁS MADRID,15.39,9.07,35.17,15.39,23.04,6.83,8.15,57.39,40.26,Izquierda,14,151,345,0,0,226,0,0,0,0,89,0,80,1,67
2805809006,2805809006,1527,997,3,2,995,PSOE,34.77,Cs,21.51,MÁS MADRID,14.27,12.56,34.77,14.27,21.51,8.04,7.84,57.08,41.91,Izquierda,2,142,346,1,0,214,0,2,2,0,125,0,78,0,80
2805809007,2805809007,1368,785,6,4,781,PSOE,38.67,Cs,19.85,MÁS MADRID,11.14,11.14,38.67,11.14,19.85,7.04,8.96,56.85,39.95,Izquierda,11,87,302,3,1,155,1,0,0,0,87,1,70,2,55
2805809008,2805809008,1655,1109,7,5,1104,PSOE,35.87,Cs,20.02,MÁS MADRID,16.21,8.51,35.87,16.21,20.02,8.79,8.51,60.87,37.04,Izquierda,13,179,396,1,1,221,0,0,0,0,94,0,94,1,97
2805809009,2805809009,1838,1018,8,6,1012,PSOE,37.55,Cs,19.96,MÁS MADRID,16.3,7.91,37.55,16.3,19.96,7.31,8.89,61.16,36.76,Izquierda,8,165,380,0,3,202,0,0,1,0,80,0,90,1,74
2805809010,2805809010,1516,974,1,3,971,PSOE,36.15,Cs,20.08,MÁS MADRID,16.99,8.03,36.15,16.99,20.08,10.4,7,63.54,35.11,Izquierda,6,165,351,0,2,195,2,0,1,0,78,1,68,0,101
2805809011,2805809011,1464,993,2,2,991,PSOE,39.05,Cs,19.07,MÁS MADRID,17.46,7.06,39.05,17.46,19.07,6.56,9.59,63.07,35.72,Izquierda,7,173,387,0,0,189,2,0,0,0,70,0,95,1,65
2805809012,2805809012,1471,1049,3,7,1042,PSOE,34.93,Cs,20.06,MÁS MADRID,17.47,10.46,34.93,17.47,20.06,7.2,7.97,59.6,38.49,Izquierda,13,182,364,0,0,209,1,0,2,0,109,1,83,0,75
2805901001,2805901001,2103,1387,4,9,1378,PSOE,27.79,PP,25.54,Cs,18.29,25.54,27.79,9.72,18.29,4.35,12.99,41.86,56.82,Derecha,8,134,383,0,1,252,0,0,4,0,352,1,179,0,60
2805901002,2805901002,1309,981,5,8,973,PP,25.28,PSOE,21.27,Cs,21.17,25.28,21.27,10.17,21.17,5.76,14.29,37.2,60.74,Derecha,10,99,207,1,0,206,0,0,1,2,246,0,139,1,56
2805901003,2805901003,1101,766,3,7,759,PP,25.69,PSOE,24.77,Cs,22.4,25.69,24.77,10.54,22.4,4.48,10.14,39.79,58.23,Derecha,10,80,188,0,0,170,0,1,0,0,195,1,77,0,34
2806001001,2806001001,1570,1233,7,7,1226,PSOE,54.24,PP,14.85,Cs,8.65,14.85,54.24,7.26,8.65,6.04,6.53,67.54,30.03,Izquierda,18,89,665,1,0,106,2,0,1,0,182,0,80,1,74
2806101001,2806101001,2166,1402,8,3,1399,PSOE,31.24,PP,18.01,Cs,16.58,18.01,31.24,13.37,16.58,6.93,11.65,51.54,46.24,Izquierda,14,187,437,0,1,232,1,1,3,0,252,2,163,1,97
2806101002,2806101002,2065,1352,3,6,1346,PSOE,29.72,Cs,20.06,PP,19.02,19.02,29.72,13.67,20.06,5.94,9.81,49.33,48.89,Izquierda,10,184,400,1,0,270,5,3,2,0,256,0,132,0,80
2806101003,2806101003,1789,1090,4,9,1081,PSOE,26.83,PP,21.37,Cs,17.48,21.37,26.83,12.77,17.48,5.46,14.71,45.06,53.56,Derecha,8,138,290,0,0,189,0,1,0,1,231,1,159,0,59
2806101004,2806101004,1830,1124,4,2,1122,PSOE,28.88,PP,21.93,Cs,17.11,21.93,28.88,15.33,17.11,4.81,9.98,49.02,49.02,Izquierda,12,172,324,1,1,192,1,0,0,0,246,2,112,1,54
2806101005,2806101005,1872,1366,13,6,1360,PP,27.28,PSOE,20.81,Cs,18.31,27.28,20.81,12.72,18.31,5.66,12.5,39.19,58.09,Derecha,15,173,283,0,0,249,0,0,3,0,371,0,170,6,77
2806101006,2806101006,1597,1171,9,4,1167,PP,24.16,PSOE,20.91,Cs,19.88,24.16,20.91,14.05,19.88,6.86,12.51,41.82,56.55,Derecha,4,164,244,0,0,232,3,0,0,1,282,1,146,1,80
2806101007,2806101007,1557,1194,4,3,1191,PSOE,28.04,Cs,19.98,MÁS MADRID,18.89,16.12,28.04,18.89,19.98,6.88,8.31,53.81,44.41,Izquierda,11,225,334,1,0,238,1,1,1,0,192,0,99,2,82
2806101008,2806101008,1637,1300,1,1,1299,PP,28.18,Cs,25.87,VOX,19.86,28.18,13.16,9.08,25.87,2.46,19.86,24.7,73.91,Derecha,14,118,171,0,0,336,0,0,0,0,366,0,258,3,32
2806101009,2806101009,2220,1552,5,2,1550,Cs,22.32,PP,22.13,PSOE,21.29,22.13,21.29,14.52,22.32,4.97,13.03,40.78,57.48,Derecha,15,225,330,3,0,346,2,0,0,2,343,0,202,0,77
2806101010,2806101010,966,704,3,1,703,Cs,23.33,PSOE,21.91,PP,20.48,20.48,21.91,15.5,23.33,5.69,10.81,43.1,54.62,Derecha,11,109,154,0,0,164,0,0,0,0,144,1,76,1,40
2806101011,2806101011,1990,1212,1,10,1202,PSOE,30.62,PP,24.13,Cs,17.3,24.13,30.62,11.56,17.3,5.24,9.65,47.42,51.08,Derecha,13,139,368,0,0,208,0,2,1,0,290,1,116,0,63
2806101012,2806101012,1721,1135,2,7,1128,PP,23.4,PSOE,20.74,Cs,18.17,23.4,20.74,12.59,18.17,6.12,17.64,39.45,59.21,Derecha,10,142,234,0,0,205,1,0,1,0,264,0,199,1,69
2806101013,2806101013,1195,781,3,4,777,PP,24.58,PSOE,23.81,Cs,19.05,24.58,23.81,11.45,19.05,4.5,14.93,39.76,58.56,Derecha,8,89,185,0,0,148,1,0,1,0,191,0,116,0,35
2806201001,2806201001,292,245,3,4,241,PP,24.9,PSOE,21.58,Cs,20.33,24.9,21.58,7.88,20.33,4.98,19.09,34.44,64.32,Derecha,0,19,52,0,0,49,0,0,0,0,60,0,46,0,12
2806301001,2806301001,253,205,1,2,203,PP,34.98,PSOE,28.08,MÁS MADRID,11.82,34.98,28.08,11.82,11.82,5.91,4.43,45.81,51.23,Derecha,4,24,57,0,0,24,1,0,0,0,71,0,9,0,12
2806401001,2806401001,133,100,1,3,97,PSOE,39.18,PP,30.93,VOX,12.37,30.93,39.18,4.12,10.31,2.06,12.37,45.36,53.61,Derecha,0,4,38,0,0,10,0,0,0,0,30,0,12,0,2
2806501002,2806501002,1482,968,1,5,963,PSOE,35.51,MÁS MADRID,16.2,PP,16.1,16.1,35.51,16.2,15.68,6.85,7.89,58.56,39.67,Izquierda,11,156,342,0,0,151,1,1,0,0,155,1,76,2,66
2806501003,2806501003,569,383,2,2,381,PP,30.97,PSOE,26.51,Cs,16.01,30.97,26.51,14.17,16.01,4.46,6.56,45.14,53.54,Derecha,2,54,101,0,0,61,0,0,0,0,118,1,25,0,17
2806501004,2806501004,812,569,6,0,569,PP,27.24,PSOE,23.73,Cs,18.98,27.24,23.73,12.13,18.98,6.68,8.44,42.54,54.66,Derecha,9,69,135,0,0,108,0,0,0,0,155,0,48,1,38
2806501005,2806501005,1611,1091,12,2,1089,PSOE,31.13,PP,25.07,Cs,16.71,25.07,31.13,12.12,16.71,6.15,6.8,49.4,48.58,Izquierda,5,132,339,1,1,182,0,0,0,0,273,3,74,0,67
2806501006,2806501006,1886,1307,7,7,1300,PSOE,30.38,PP,21.38,Cs,16.69,21.38,30.38,12,16.69,7.23,9.62,49.61,47.69,Izquierda,20,156,395,0,0,217,0,3,1,0,278,1,125,3,94
2806501007,2806501007,842,596,5,3,593,PSOE,41.99,PP,14,MÁS MADRID,13.32,14,41.99,13.32,12.98,7.76,7.76,63.07,34.74,Izquierda,5,79,249,1,0,77,0,0,1,0,83,0,46,1,46
2806501008,2806501008,1070,668,1,1,667,PSOE,38.53,PP,19.19,MÁS MADRID,13.79,19.19,38.53,13.79,11.54,8.85,6,61.17,36.73,Izquierda,6,92,257,1,0,77,1,1,2,0,128,1,40,1,59
2806501009,2806501009,800,577,5,2,575,PP,34.78,PSOE,18.26,Cs,15.13,34.78,18.26,12.7,15.13,6.43,10.78,37.39,60.69,Derecha,2,73,105,1,0,87,0,1,2,0,200,0,62,0,37
2806501010,2806501010,1015,695,2,1,694,PSOE,36.89,MÁS MADRID,16.86,Cs,14.55,13.98,36.89,16.86,14.55,9.8,5.91,63.55,34.44,Izquierda,7,117,256,0,0,101,3,0,0,0,97,1,41,1,68
2806501011,2806501011,1469,968,6,2,966,PSOE,33.44,PP,19.67,MÁS MADRID,15.42,19.67,33.44,15.42,14.8,7.66,7.35,56.52,41.82,Izquierda,7,149,323,0,0,143,1,1,1,0,190,0,71,0,74
2806501012,2806501012,921,588,2,4,584,PSOE,41.27,PP,19.52,MÁS MADRID,15.07,19.52,41.27,15.07,9.93,5.14,7.02,61.48,36.47,Izquierda,6,88,241,0,0,58,2,0,1,0,114,1,41,0,30
2806501013,2806501013,755,511,4,1,510,PSOE,26.08,PP,25.69,Cs,15.88,25.69,26.08,15.49,15.88,6.67,8.43,48.24,50,Derecha,2,79,133,0,0,81,0,0,1,0,131,1,43,1,34
2806501014,2806501014,1025,472,2,1,471,PSOE,39.28,PP,14.65,MÁS MADRID,14.44,14.65,39.28,14.44,14.44,6.58,8.92,60.3,38.01,Izquierda,2,68,185,0,0,68,2,0,1,0,69,1,42,0,31
2806501015,2806501015,1057,699,3,0,699,PSOE,42.49,MÁS MADRID,16.74,PP,14.31,14.31,42.49,16.74,12.3,7.44,5.87,66.67,32.48,Izquierda,3,117,297,0,0,86,0,0,0,0,100,0,41,0,52
2806501016,2806501016,929,643,5,3,640,PSOE,30,PP,25,Cs,13.28,25,30,12.97,13.28,7.34,8.91,50.31,47.19,Izquierda,11,83,192,0,0,85,0,0,0,0,160,0,57,0,47
2806501017,2806501017,847,562,2,2,560,PSOE,33.04,PP,21.43,MÁS MADRID,15,21.43,33.04,15,13.21,5.71,9.82,53.75,44.46,Izquierda,4,84,185,1,0,74,0,0,2,0,120,0,55,1,32
2806501018,2806501018,1104,740,2,5,735,PSOE,40,MÁS MADRID,16.73,Cs,14.01,13.61,40,16.73,14.01,8.98,5.17,65.71,32.79,Izquierda,5,123,294,0,0,103,0,0,2,0,100,0,38,2,66
2806501019,2806501019,792,557,2,4,553,PP,28.57,PSOE,21.16,Cs,19.89,28.57,21.16,12.48,19.89,5.79,9.4,39.43,57.86,Derecha,11,69,117,0,0,110,1,0,0,1,158,0,52,0,32
2806502001,2806502001,958,627,4,8,619,PSOE,31.34,PP,19.55,MÁS MADRID,17.93,19.55,31.34,17.93,15.02,7.92,6.46,57.19,41.03,Izquierda,3,111,194,0,0,93,0,0,2,1,121,0,40,1,49
2806502002,2806502002,834,519,0,2,517,PSOE,29.98,PP,23.6,MÁS MADRID,15.09,23.6,29.98,15.09,11.41,9.09,8.9,54.16,43.91,Izquierda,7,78,155,0,0,59,1,0,1,0,122,1,46,0,47
2806502003,2806502003,1124,679,1,6,673,PSOE,37.3,MÁS MADRID,17.38,PP,15.01,15.01,37.3,17.38,11.74,9.06,7.13,63.74,33.88,Izquierda,5,117,251,1,0,79,2,1,0,3,101,1,48,2,61
2806502004,2806502004,848,491,2,1,490,PSOE,45.92,PP,16.73,Cs,11.43,16.73,45.92,8.37,11.43,8.98,6.12,63.27,34.28,Izquierda,3,41,225,0,1,56,1,1,3,0,82,0,30,1,44
2806502005,2806502005,917,527,1,2,525,PSOE,44,PP,14.86,Cs,12.95,14.86,44,9.52,12.95,11.43,4.57,64.95,32.38,Izquierda,10,50,231,1,0,68,1,1,0,0,78,0,24,0,60
2806502006,2806502006,735,460,1,2,458,PSOE,39.74,PP,15.5,MÁS MADRID,13.32,15.5,39.74,13.32,11.35,12.23,5.68,65.29,32.53,Izquierda,3,61,182,0,0,52,0,2,1,0,71,3,26,0,56
2806502007,2806502007,726,401,1,2,399,PSOE,45.61,PP,13.53,Cs,13.03,13.53,45.61,9.77,13.03,9.02,7.02,64.4,33.58,Izquierda,6,39,182,0,0,52,1,0,0,0,54,0,28,0,36
2806502009,2806502009,918,598,3,7,591,PSOE,33.84,PP,20.47,Cs,15.57,20.47,33.84,13.87,15.57,6.6,7.61,54.31,43.65,Izquierda,6,82,200,0,0,92,0,0,1,1,121,0,45,1,39
2806502010,2806502010,1448,953,5,2,951,PSOE,31.02,PP,23.97,Cs,15.25,23.97,31.02,13.99,15.25,5.78,8.2,50.79,47.42,Izquierda,6,133,295,0,0,145,0,0,2,1,228,1,78,2,55
2806502011,2806502011,685,425,1,0,425,PP,31.29,PSOE,29.65,Cs,15.53,31.29,29.65,8.24,15.53,5.65,8.94,43.54,55.76,Derecha,2,35,126,0,0,66,0,0,0,0,133,0,38,0,24
2806502012,2806502012,1384,946,0,2,944,PSOE,30.83,MÁS MADRID,17.8,Cs,16.84,16,30.83,17.8,16.84,8.37,8.79,57,41.63,Izquierda,6,168,291,0,0,159,0,3,1,2,151,0,83,1,79
2806502013,2806502013,1584,1100,4,2,1098,PSOE,30.42,Cs,19.85,MÁS MADRID,17.49,16.03,30.42,17.49,19.85,7.29,7.47,55.2,43.35,Izquierda,7,192,334,0,1,218,1,0,0,1,176,0,82,2,80
2806502014,2806502014,1016,627,9,6,621,PSOE,36.23,PP,18.36,MÁS MADRID,15.94,18.36,36.23,15.94,12.08,8.86,4.83,61.03,35.27,Izquierda,7,99,225,1,0,75,0,0,3,1,114,2,30,0,55
2806502015,2806502015,692,479,0,1,478,PSOE,29.29,PP,25.52,MÁS MADRID,14.85,25.52,29.29,14.85,12.13,7.11,9.83,51.25,47.48,Izquierda,4,71,140,0,0,58,0,1,0,0,122,1,47,0,34
2806502016,2806502016,1936,1435,3,2,1433,PSOE,35.73,Cs,17.93,MÁS MADRID,16.4,15.49,35.73,16.4,17.93,7.47,5.65,59.6,39.07,Izquierda,6,235,512,1,0,257,0,1,0,1,222,2,81,5,107
2806502017,2806502017,960,768,2,1,767,PSOE,27.51,Cs,21.9,PP,18.77,18.77,27.51,16.95,21.9,7.17,6,51.63,46.67,Izquierda,7,130,211,1,1,168,0,0,0,0,144,0,46,2,55
2806502018,2806502018,1343,910,3,2,908,PSOE,34.58,Cs,17.4,MÁS MADRID,16.74,14.21,34.58,16.74,17.4,10.02,5.07,61.34,36.68,Izquierda,11,152,314,0,0,158,1,0,2,0,129,0,46,1,91
2806502019,2806502019,1686,1211,9,2,1209,PSOE,36.06,MÁS MADRID,17.95,Cs,17.54,10.17,36.06,17.95,17.54,9.1,6.95,63.11,34.66,Izquierda,9,217,436,1,0,212,1,2,2,0,123,1,84,2,110
2806502020,2806502020,1752,1176,9,3,1173,PSOE,30.35,Cs,19.18,MÁS MADRID,16.03,15.86,30.35,16.03,19.18,8.27,8.1,54.65,43.14,Izquierda,7,188,356,1,2,225,2,1,1,0,186,0,95,3,97
2806502021,2806502021,1873,1426,1,5,1421,PSOE,29.35,MÁS MADRID,20.76,Cs,20.69,12.81,29.35,20.76,20.69,7.95,6.54,58.06,40.04,Izquierda,15,295,417,4,0,294,3,1,0,0,182,2,93,1,113
2806502022,2806502022,1066,818,5,5,813,PSOE,29.4,Cs,22.39,MÁS MADRID,18.94,16.11,29.4,18.94,22.39,5.66,5.54,54,44.04,Izquierda,6,154,239,1,0,182,1,1,0,0,131,2,45,0,46
