Cusec,Cusec,Censo Total,Votos Totales,Votos Blancos,Votos Nulos,Votos Válidos,Primera fuerza,% PF,Segunda fuerza,% SF,Tercera fuerza,% TF,% PP,% PSOE,% MÁS MADRID,% Cs,% Podemos,% VOX,Izquierda,Derecha,Bloque Gana,PACMA,MÁS MADRID,PSOE,PH,ULEG,Cs,FE de las JONS,PCAS-TC,PUM+J,P-LIB,PP,PCTE,VOX,UPYD,PODEMOS-IU
2800702024,2800702024,710,495,1,2,493,PP,36.31,PSOE,22.31,Cs,20.28,36.31,22.31,6.9,20.28,4.67,8.32,33.88,64.91,Derecha,5,34,110,0,0,100,0,0,0,0,179,0,41,0,23
2800702025,2800702025,677,490,2,5,485,PP,30.52,PSOE,25.15,Cs,15.05,30.52,25.15,9.9,15.05,5.57,13.2,40.62,58.77,Derecha,1,48,122,0,0,73,0,0,0,0,148,0,64,0,27
2800702026,2800702026,505,352,0,2,350,PSOE,28,PP,26.57,Cs,17.14,26.57,28,9.71,17.14,4.86,10.86,42.57,54.57,Derecha,9,34,98,0,0,60,1,0,0,0,93,0,38,0,17
2800702027,2800702027,913,658,4,1,657,PSOE,28.92,PP,24.81,Cs,17.96,24.81,28.92,12.48,17.96,8.07,5.33,49.47,48.1,Izquierda,11,82,190,1,0,118,0,0,0,0,163,0,35,0,53
2800702028,2800702028,1044,767,1,5,762,PSOE,34.38,Cs,18.24,PP,17.59,17.59,34.38,14.7,18.24,5.12,7.48,54.2,43.31,Izquierda,11,112,262,0,0,139,0,2,2,0,134,0,57,3,39
2800702029,2800702029,994,728,5,5,723,PSOE,36.1,PP,19.5,Cs,14.94,19.5,36.1,13.97,14.94,8.16,5.53,58.23,39.97,Izquierda,8,101,261,0,0,108,0,0,0,0,141,0,40,0,59
2800702030,2800702030,880,668,0,1,667,Cs,26.39,PSOE,23.09,MÁS MADRID,18.29,16.64,23.09,18.29,26.39,6.6,7.65,47.98,50.68,Derecha,6,122,154,1,0,176,0,0,0,0,111,1,51,1,44
2800702031,2800702031,1324,931,3,3,928,PSOE,32.22,Cs,23.17,MÁS MADRID,13.9,13.04,32.22,13.9,23.17,8.73,7.76,54.85,43.97,Izquierda,5,129,299,0,0,215,0,1,0,0,121,2,72,0,81
2800702032,2800702032,1262,1028,3,7,1021,Cs,29.48,PSOE,23.31,PP,16.45,16.45,23.31,13.91,29.48,6.56,8.91,43.78,54.84,Derecha,5,142,238,1,2,301,2,0,1,0,168,0,91,0,67
2800702033,2800702033,1471,951,2,4,947,PSOE,30.73,MÁS MADRID,21.12,Cs,18.06,8.87,30.73,21.12,18.06,11.83,7.6,63.68,34.53,Izquierda,9,200,291,0,0,171,1,3,1,0,84,0,72,1,112
2800702034,2800702034,1864,1413,7,2,1411,PSOE,26.01,Cs,23.32,PP,17.58,17.58,26.01,16.51,23.32,8.08,7.37,50.6,48.27,Izquierda,4,233,367,0,1,329,0,0,0,0,248,1,104,3,114
2800702035,2800702035,1555,1211,9,3,1208,PSOE,29.22,Cs,25.5,PP,17.22,17.22,29.22,12.83,25.5,6.54,7.78,48.59,50.5,Derecha,2,155,353,0,0,308,0,0,0,0,208,0,94,0,79
2800702036,2800702036,663,474,3,2,472,PSOE,32.84,PP,20.34,Cs,19.07,20.34,32.84,12.29,19.07,4.45,9.53,49.58,48.94,Izquierda,3,58,155,0,0,90,0,0,0,1,96,0,45,0,21
2800702037,2800702037,1000,746,9,3,743,PSOE,26.65,Cs,20.05,MÁS MADRID,17.23,16.96,26.65,17.23,20.05,7.67,8.48,51.55,45.49,Izquierda,4,128,198,1,0,149,1,0,2,2,126,1,63,2,57
2800702038,2800702038,1276,1051,6,6,1045,Cs,27.27,PSOE,24.4,PP,20.19,20.19,24.4,15.69,27.27,5.07,6.32,45.16,53.78,Derecha,2,164,255,0,0,285,0,0,0,1,211,0,66,2,53
2800703001,2800703001,1388,966,8,2,964,PSOE,33.61,PP,23.65,Cs,17.32,23.65,33.61,11.72,17.32,6.54,4.88,51.87,45.85,Izquierda,11,113,324,0,0,167,0,1,1,0,228,0,47,1,63
