cusec;Codmun;Municipio;Provincia;RMH 2018;RMP 2018
0100101001;01001;Alegría-Dulantzi;Araba/Álava;; 
0100101002;01001;Alegría-Dulantzi;Araba/Álava;; 
0100201001;01002;Amurrio;Araba/Álava;35037;14103
0100201002;01002;Amurrio;Araba/Álava;35037;14103
0100201003;01002;Amurrio;Araba/Álava;35037;14103
0100201004;01002;Amurrio;Araba/Álava;35037;14103
0100201005;01002;Amurrio;Araba/Álava;35037;14103
0100201006;01002;Amurrio;Araba/Álava;35037;14103
0100201007;01002;Amurrio;Araba/Álava;35037;14103
0100301001;01003;Aramaio;Araba/Álava;43440;16478
0100401001;01004;Artziniega;Araba/Álava;33067;13157
0100601001;01006;Armiñón;Araba/Álava;34824;14671
0100801001;01008;Arratzua-Ubarrundia;Araba/Álava;47119;17853
0100901001;01009;Asparrena;Araba/Álava;32198;14463
0101001001;01010;Ayala/Aiara;Araba/Álava;38416;14482
0101001002;01010;Ayala/Aiara;Araba/Álava;38416;14482
0101101001;01011;Baños de Ebro/Mañueta;Araba/Álava;28366;11230
0101301001;01013;Barrundia;Araba/Álava;39195;15847
0101401001;01014;Berantevilla;Araba/Álava;32811;13258
0101601001;01016;Bernedo;Araba/Álava;29665;15133
0101701001;01017;Campezo/Kanpezu;Araba/Álava;27625;13055
0101801001;01018;Zigoitia;Araba/Álava;45709;18173
0101901001;01019;Kripan;Araba/Álava;31403;12387
0102001001;01020;Kuartango;Araba/Álava;31960;17425
0102101001;01021;Elburgo/Burgelu;Araba/Álava;43182;15932
0102201001;01022;Elciego;Araba/Álava;32561;13543
0102301001;01023;Elvillar/Bilar;Araba/Álava;31284;12965
0102701001;01027;Iruraiz-Gauna;Araba/Álava;38399;14929
0102801001;01028;Labastida/Bastida;Araba/Álava;27931;11685
0103001001;01030;Lagrán;Araba/Álava;26729;15152
0103101001;01031;Laguardia;Araba/Álava;32431;14339
0103201001;01032;Lanciego/Lantziego;Araba/Álava;26064;11307
0103301001;01033;Lapuebla de Labarca;Araba/Álava;28670;11954
0103401001;01034;Leza;Araba/Álava;30609;13706
0103601001;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601002;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601003;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601004;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601005;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601006;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601007;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601008;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601009;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601010;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601011;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601012;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103601013;01036;Laudio/Llodio;Araba/Álava;33426;14074
0103701001;01037;Arraia-Maeztu;Araba/Álava;35741;16591
0103901001;01039;Moreda de Álava/Moreda Araba;Araba/Álava;28463;12891
0104101001;01041;Navaridas;Araba/Álava;29135;12463
0104201001;01042;Okondo;Araba/Álava;33098;12851
0104301001;01043;Oyón-Oion;Araba/Álava;28044;10956
0104301002;01043;Oyón-Oion;Araba/Álava;28044;10956
0104401001;01044;Peñacerrada-Urizaharra;Araba/Álava;35787;18582
0104601001;01046;Erriberagoitia/Ribera Alta;Araba/Álava;35576;15163
0104701001;01047;Erriberabeitia;Araba/Álava;37257;13771
0104901001;01049;Añana;Araba/Álava;26084;13878
0105101001;01051;Agurain/Salvatierra;Araba/Álava;30410;12369
0105101002;01051;Agurain/Salvatierra;Araba/Álava;30410;12369
0105101003;01051;Agurain/Salvatierra;Araba/Álava;30410;12369
0105201001;01052;Samaniego;Araba/Álava;31418;13925
0105301001;01053;San Millán/Donemiliaga;Araba/Álava;36474;14712
0105401001;01054;Urkabustaiz;Araba/Álava;33139;13548
0105501001;01055;Valdegovía/Gaubea;Araba/Álava;28771;14255
