cusec;Codmun;Municipio;Provincia;RMH 2018;RMP 2018
2807403002;28074;Leganés;Madrid;24092;9504
2807403003;28074;Leganés;Madrid;24033;8966
2807403004;28074;Leganés;Madrid;24221;9058
2807403005;28074;Leganés;Madrid;21216;8519
2807403006;28074;Leganés;Madrid;24036;9765
2807403007;28074;Leganés;Madrid;26365;10300
2807403008;28074;Leganés;Madrid;23108;9223
2807403012;28074;Leganés;Madrid;24688;9322
2807403013;28074;Leganés;Madrid;24151;9182
2807403014;28074;Leganés;Madrid;33147;12527
2807403015;28074;Leganés;Madrid;41693;14828
2807403016;28074;Leganés;Madrid;41521;13771
2807403017;28074;Leganés;Madrid;37999;12282
2807403018;28074;Leganés;Madrid;30683;9863
2807403019;28074;Leganés;Madrid;55358;17231
2807403020;28074;Leganés;Madrid;42888;14506
2807403021;28074;Leganés;Madrid;40859;14783
2807403022;28074;Leganés;Madrid;37348;14089
2807403023;28074;Leganés;Madrid;57123;22502
2807403024;28074;Leganés;Madrid;33669;16525
2807404001;28074;Leganés;Madrid;26102;10680
2807404002;28074;Leganés;Madrid;30680;11329
2807404003;28074;Leganés;Madrid;29371;11574
2807404004;28074;Leganés;Madrid;28941;11395
2807404005;28074;Leganés;Madrid;29670;11842
2807404006;28074;Leganés;Madrid;28602;11416
2807404007;28074;Leganés;Madrid;30072;12034
2807404008;28074;Leganés;Madrid;27049;10803
2807404009;28074;Leganés;Madrid;25859;10623
2807404010;28074;Leganés;Madrid;27459;11055
2807404011;28074;Leganés;Madrid;26752;11474
2807404012;28074;Leganés;Madrid;26094;10116
2807404013;28074;Leganés;Madrid;31650;12564
2807404014;28074;Leganés;Madrid;28471;11408
2807404015;28074;Leganés;Madrid;30362;12902
2807404016;28074;Leganés;Madrid;28707;12430
2807404017;28074;Leganés;Madrid;32367;12681
2807404018;28074;Leganés;Madrid;26096;10838
2807404019;28074;Leganés;Madrid;30353;11879
2807404020;28074;Leganés;Madrid;30196;10861
2807404021;28074;Leganés;Madrid;29517;11790
2807404022;28074;Leganés;Madrid;27066;10838
2807404023;28074;Leganés;Madrid;26957;10980
2807404024;28074;Leganés;Madrid;28927;12580
2807404025;28074;Leganés;Madrid;27739;10523
2807404026;28074;Leganés;Madrid;28215;11207
2807404027;28074;Leganés;Madrid;29501;11134
2807404028;28074;Leganés;Madrid;27893;11476
2807404029;28074;Leganés;Madrid;27306;11320
2807404030;28074;Leganés;Madrid;28460;12141
2807404031;28074;Leganés;Madrid;27676;10986
2807404032;28074;Leganés;Madrid;28287;11125
2807404033;28074;Leganés;Madrid;28215;11525
2807404034;28074;Leganés;Madrid;27710;11610
2807404035;28074;Leganés;Madrid;28566;10671
2807404036;28074;Leganés;Madrid;28010;10901
2807404037;28074;Leganés;Madrid;35444;13909
2807404038;28074;Leganés;Madrid;26869;10881
2807404039;28074;Leganés;Madrid;27641;10919
2807404040;28074;Leganés;Madrid;27593;11499
2807404041;28074;Leganés;Madrid;26227;11829
2807405001;28074;Leganés;Madrid;38294;14023
2807405002;28074;Leganés;Madrid;40797;14513
2807405003;28074;Leganés;Madrid;39766;13568
2807405004;28074;Leganés;Madrid;44897;16038
2807405005;28074;Leganés;Madrid;43895;15712
2807405006;28074;Leganés;Madrid;39707;14664
2807405007;28074;Leganés;Madrid;31289;11312
2807405008;28074;Leganés;Madrid;45269;14996
2807405009;28074;Leganés;Madrid;35121;11700
2807405010;28074;Leganés;Madrid;42745;14473
2807405011;28074;Leganés;Madrid;25611;8792
2807405012;28074;Leganés;Madrid;37060;11930
