País	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Chile	31,36150999	32,14603397	33,06927423	31,61387155	31,43409229	32,26216584	32,90714332	30,46310654	30,82746096	31,52545784	27,04274094	28,79008756	30,30273423	30,17723846	26,71709933	24,88255427
Media mundial	17,8993922	17,60150667	17,61837319	17,43409821	17,09722966	17,04344248	17,12126069	16,90830508	17,03502908	17,5116086	17,25519195	17,20977103	17,47623659	17,69905686	17,87018404	18,05375499
