País	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Brasil	42,79877399	41,47787881	43,02456209	45,30866138	45,38996097	46,34794058	46,90506004	47,41762519	47,26330741	49,11372304	47,00666157	45,46855053	43,6207953	42,44784254	41,84187872	43,7903892
Media mundial	17,8993922	17,60150667	17,61837319	17,43409821	17,09722966	17,04344248	17,12126069	16,90830508	17,03502908	17,5116086	17,25519195	17,20977103	17,47623659	17,69905686	17,87018404	18,05375499
