País	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Estados Unidos	1,91659722	1,880103604	2,014281247	2,018029181	2,094197798	2,196357036	2,417303722	2,594778112	3,092530935	3,675665813	4,097292761	4,789611326	5,486241256	6,320009218	6,900028617	7,386954951
Media mundial	1,400554277	1,437081686	1,560385264	1,651618728	1,796905426	1,957531762	2,125917602	2,349888148	2,680687281	3,128802817	3,552995335	4,098179358	4,695463989	5,410807292	6,006730506	6,765608919
