Cusec;CodMun;Municipio;Provincia;RM por persona 2017_custom;% ingresos salario
3907502006;39075;Santander;Cantabria;18457;39,56192891
4109110012;41091;Sevilla;Sevilla;18457;41,43423106
2906702041;29067;Málaga;Málaga;18456;56,95415695
2807908170;28079;Madrid;Madrid;18453;83,18811717
4801001001;48010;Arrieta;Bizkaia;18453;
3412003003;34120;Palencia;Palencia;18450;39,60426719
2807921011;28079;Madrid;Madrid;18449;65,76780305
0704005015;07040;Palma ;Balears, Illes;18448;55,18936931
2807905024;28079;Madrid;Madrid;18447;56,15046194
4109111002;41091;Sevilla;Sevilla;18447;40,15715122
4804403017;48044;Getxo;Bizkaia;18446;
0801902036;08019;Barcelona;Barcelona;18445;57,54518525
1102005002;11020;Jerez de la Frontera;Cádiz;18445;44,75976992
0827901004;08279;Terrassa;Barcelona;18441;69,19986467
2807902003;28079;Madrid;Madrid;18440;59,67011216
4804402004;48044;Getxo;Bizkaia;18439;
0818701005;08187;Sabadell;Barcelona;18437;55,74724765
2408907014;24089;León;León;18435;50,56402573
5029708016;50297;Zaragoza;Zaragoza;18435;45,88134291
2807908151;28079;Madrid;Madrid;18433;61,43305125
2807904090;28079;Madrid;Madrid;18431;68,71770582
2807920095;28079;Madrid;Madrid;18427;57,25016473
0801906027;08019;Barcelona;Barcelona;18426;57,30560732
5200106002;52001;Melilla;Melilla;18426;58,15046285
2807902027;28079;Madrid;Madrid;18425;58,4045584
5029701039;50297;Zaragoza;Zaragoza;18425;50,32506031
0801904027;08019;Barcelona;Barcelona;18424;56,0679516
0704001015;07040;Palma ;Balears, Illes;18423;50,81219493
5029702002;50297;Zaragoza;Zaragoza;18421;47,10463093
0905905007;09059;Burgos;Burgos;18420;46,63474211
2906702001;29067;Málaga;Málaga;18419;43,87615464
2802201014;28022;Boadilla del Monte;Madrid;18418;80,84292763
0818701032;08187;Sabadell;Barcelona;18416;69,97551562
1101210001;11012;Cádiz;Cádiz;18414;53,01619081
4718602012;47186;Valladolid;Valladolid;18414;44,050265
1913005005;19130;Guadalajara;Guadalajara;18411;72,44336362
4625002003;46250;València;Valencia/València;18410;49,59007689
0801501008;08015;Badalona;Barcelona;18408;54,90693739
2608903015;26089;Logroño;Rioja, La;18408;40,3289726
2812301006;28123;Rivas-Vaciamadrid;Madrid;18408;60,47483057
3727401012;37274;Salamanca;Salamanca;18405;44,64830432
4109111007;41091;Sevilla;Sevilla;18399;48,46733874
4314807007;43148;Tarragona;Tarragona;18399;55,00984788
0905902004;09059;Burgos;Burgos;18398;56,86441399
2800601057;28006;Alcobendas;Madrid;18398;79,49544202
2807908051;28079;Madrid;Madrid;18397;59,17982456
3003002002;30030;Murcia;Murcia;18394;52,34086866
0800501003;08005;Ametlla del Vallès, L';Barcelona;18393;65,33720689
4802006046;48020;Bilbao;Bizkaia;18388;
2804501022;28045;Colmenar Viejo;Madrid;18386;65,94870464
2812301012;28123;Rivas-Vaciamadrid;Madrid;18386;57,70652978
2807901074;28079;Madrid;Madrid;18385;62,49165275
3205401017;32054;Ourense;Ourense;18384;41,05589271
4804403011;48044;Getxo;Bizkaia;18384;
2005504004;20055;Arrasate/Mondragón;Gipuzkoa;18382;
2808002023;28080;Majadahonda;Madrid;18374;77,39453991
4625002051;46250;València;Valencia/València;18371;51,06120014
2807905080;28079;Madrid;Madrid;18366;63,38015918
2305002001;23050;Jaén;Jaén;18363;36,17057424
4718610049;47186;Valladolid;Valladolid;18363;63,52825427
2007902002;20079;Zarautz;Gipuzkoa;18362;
4109101034;41091;Sevilla;Sevilla;18359;
2807910157;28079;Madrid;Madrid;18358;45,9181543
4314804009;43148;Tarragona;Tarragona;18358;62,64992665
2807907012;28079;Madrid;Madrid;18356;57,8587206
1808702037;18087;Granada;Granada;18354;46,78521411
2807907134;28079;Madrid;Madrid;18348;63,51688497
0818701003;08187;Sabadell;Barcelona;18347;56,18109905
5029703012;50297;Zaragoza;Zaragoza;18347;
2807902099;28079;Madrid;Madrid;18345;84,68948468
0801902138;08019;Barcelona;Barcelona;18343;57,39332216
0801906085;08019;Barcelona;Barcelona;18340;54,84815066
0822001002;08220;Sant Julià de Vilatorta;Barcelona;18340;64,30893631
2807904102;28079;Madrid;Madrid;18340;56,18180256
0801902003;08019;Barcelona;Barcelona;18333;63,50158689
2408902007;24089;León;León;18333;46,87942635
2807907040;28079;Madrid;Madrid;18333;61,98202149
0801905096;08019;Barcelona;Barcelona;18332;56,1618222
0801904004;08019;Barcelona;Barcelona;18331;59,7694201
2007102002;20071;Tolosa;Gipuzkoa;18330;
3727406004;37274;Salamanca;Salamanca;18330;37,83064006
0818701015;08187;Sabadell;Barcelona;18328;58,70978496
4109103027;41091;Sevilla;Sevilla;18326;58,49818493
5029702048;50297;Zaragoza;Zaragoza;18326;
0801501001;08015;Badalona;Barcelona;18324;59,9412591
5029704012;50297;Zaragoza;Zaragoza;18319;
4801201002;48012;Bakio;Bizkaia;18317;
3302401015;33024;Gijón;Asturias;18315;39,74195813
2890301010;28903;Tres Cantos;Madrid;18313;76,51861668
2812701048;28127;Rozas de Madrid, Las;Madrid;18310;72,58885332
4718609003;47186;Valladolid;Valladolid;18310;48,04900786
0801903046;08019;Barcelona;Barcelona;18309;56,85075149
2906702002;29067;Málaga;Málaga;18307;40,58590174
2802201013;28022;Boadilla del Monte;Madrid;18306;83,20629868
2807920119;28079;Madrid;Madrid;18306;80,40035853
0100801001;01008;Arratzua-Ubarrundia;Araba/Álava;18302;
0827002010;08270;Sitges;Barcelona;18302;66,56067833
2807902001;28079;Madrid;Madrid;18302;70,03434335
0801902095;08019;Barcelona;Barcelona;18301;58,61718353
0801902126;08019;Barcelona;Barcelona;18298;55,4509974
1503003016;15030;Coruña, A;Coruña, A;18298;51,47415444
3304412015;33044;Oviedo;Asturias;18298;71,53948441
4718601001;47186;Valladolid;Valladolid;18297;46,2322109
2807905090;28079;Madrid;Madrid;18290;55,27570073
0703601007;07036;Marratxí;Balears, Illes;18289;65,54056858
1402101008;14021;Córdoba;Córdoba;18289;48,45356533
2006903009;20069;Donostia/San Sebastián;Gipuzkoa;18289;
2804902018;28049;Coslada;Madrid;18289;43,32604915
2807907101;28079;Madrid;Madrid;18288;67,02183178
0701102002;07011;Calvià;Balears, Illes;18284;46,87621265
0801906007;08019;Barcelona;Barcelona;18284;65,58595069
2807916021;28079;Madrid;Madrid;18282;55,67087383
0704002001;07040;Palma ;Balears, Illes;18281;47,20456662
0801902011;08019;Barcelona;Barcelona;18279;64,15372311
2006904006;20069;Donostia/San Sebastián;Gipuzkoa;18272;
2512006005;25120;Lleida;Lleida;18272;44,86099044
2807906024;28079;Madrid;Madrid;18271;60,56987312
0801904006;08019;Barcelona;Barcelona;18270;62,00051339
0820501017;08205;Sant Cugat del Vallès;Barcelona;18270;81,15463918
4718610034;47186;Valladolid;Valladolid;18269;49,07244864
0812001002;08120;Matadepera;Barcelona;18267;60,9903579
0704002028;07040;Palma ;Balears, Illes;18266;64,30684612
3907504014;39075;Santander;Cantabria;18260;66,78872054
2512003004;25120;Lleida;Lleida;18258;61,70415637
3304401003;33044;Oviedo;Asturias;18258;42,80811504
2813401040;28134;San Sebastián de los Reyes;Madrid;18257;49,48174433
2003001003;20030;Eibar;Gipuzkoa;18255;
2807915154;28079;Madrid;Madrid;18255;57,42108218
1204007017;12040;Castelló de la Plana;Castellón/Castelló;18253;67,55248576
1402110001;14021;Córdoba;Córdoba;18251;45,48044218
2006905005;20069;Donostia/San Sebastián;Gipuzkoa;18250;
2807908155;28079;Madrid;Madrid;18250;77,86383671
2906702014;29067;Málaga;Málaga;18250;43,12635156
3302401002;33024;Gijón;Asturias;18249;42,68757581
4802006035;48020;Bilbao;Bizkaia;18249;
2812301018;28123;Rivas-Vaciamadrid;Madrid;18245;72,90259547
4090401001;40904;Navas de Riofrío;Segovia;18244;64,34045118
0801904009;08019;Barcelona;Barcelona;18240;62,65754721
2807902051;28079;Madrid;Madrid;18240;62,45724809
2807914030;28079;Madrid;Madrid;18239;52,40283789
0823801006;08238;Sant Quirze del Vallès;Barcelona;18238;76,08842389
3304407006;33044;Oviedo;Asturias;18237;43,71683706
1204005001;12040;Castelló de la Plana;Castellón/Castelló;18234;37,1773889
2807907038;28079;Madrid;Madrid;18230;58,54510099
2305004001;23050;Jaén;Jaén;18227;38,79670732
1507805011;15078;Santiago de Compostela;Coruña, A;18226;51,97829132
2807920097;28079;Madrid;Madrid;18220;55,48224003
4109103032;41091;Sevilla;Sevilla;18219;54,01285503
0801902111;08019;Barcelona;Barcelona;18214;62,12289074
4625006014;46250;València;Valencia/València;18214;55,71000499
2815201002;28152;Torrelodones;Madrid;18213;67,12919634
0801902092;08019;Barcelona;Barcelona;18209;58,28571429
0801906069;08019;Barcelona;Barcelona;18206;62,69320347
3727406016;37274;Salamanca;Salamanca;18206;43,7317911
4718610020;47186;Valladolid;Valladolid;18206;42,61397344
3304407005;33044;Oviedo;Asturias;18205;40,80532087
2807901008;28079;Madrid;Madrid;18202;65,79573421
4808201001;48082;Santurtzi;Bizkaia;18201;
2003601009;20036;Hondarribia;Gipuzkoa;18200;
1503003023;15030;Coruña, A;Coruña, A;18199;43,16054398
4109111006;41091;Sevilla;Sevilla;18196;46,55193914
2807907005;28079;Madrid;Madrid;18195;59,39032472
4019403005;40194;Segovia;Segovia;18193;47,20382963
4802002012;48020;Bilbao;Bizkaia;18190;
4625006017;46250;València;Valencia/València;18187;50,12470973
0801902152;08019;Barcelona;Barcelona;18184;49,30640377
2806503041;28065;Getafe;Madrid;18184;70,82120988
2807902011;28079;Madrid;Madrid;18181;69,51850724
